data,difficulty,llm,Cost,CR,OMS,Normalized_CR,Normalized_OMS
hendrycks-MATH,Hard,LLlama-3.1 (8B),0.03171431504273275,0.41346153846153844,0.35257917177791775,0.3333333333333333,0.32483612241314885
hendrycks-MATH,Hard,Meta Llama 3.1 70B Instruct Turbo,0.18457673991646548,0.7596153846153846,0.6517233208996746,1.0,1.0
hendrycks-MATH,Hard,Mixtral-8x7B Instruct v0.1,0.08828760856568135,0.2403846153846154,0.2086543726749145,0.0,0.0
hendrycks-MATH,Hard,Qwen2.5 7B Instruct Turbo,0.04913936474308493,0.7211538461538461,0.5926874454152018,0.9259259259259259,0.8667569105869161
